,1,2,3,4
"6,7",1.999999999999988e-08,1.99999999999999e-06,1.9999999991532846e-06,1.999999991987799e-08
"6,8",1.9999999999999865e-09,1.9999999999999893e-07,1.999999999311234e-07,1.9999991037312755e-09
"6,9",1.9999999999999853e-10,1.999999999999988e-08,1.999991239211139e-08,1.9999950750366078e-10
"6,10",-9.999999999999993,1.9999999999999865e-09,1.9999999999999865e-09,1.999889180681871e-11
"6,11",0,0,0,0
"6,12",0,0,0,0
"7,1",0,0,0,0
"7,2",1.99999999999999e-06,-5.6953279000000006,1.4351401923510178e-06,-7.17570463519
"7,3",1.9999999999999917e-05,1.9906938967586853e-07,1.970575590306467e-05,1.742931012984096e-07
"7,4",1.99999999999999e-06,1.99999999999999e-06,0.00019999999999999928,1.998695776159193e-06
"7,5",1.9999999999999893e-07,1.9999999999999917e-05,1.9925052573568725e-05,1.874869875920349e-07
"7,6",1.999999999999988e-08,1.99999999999999e-06,1.99999999999999e-06,1.92732840830733e-08
"7,7",1.999999999999903e-09,1.9999999999999893e-07,1.9997812748197356e-07,1.6621307188477813e-09
"7,8",1.9999999999979174e-10,1.9999999999974374e-08,1.9999999999999494e-08,1.6246828528441586e-10
"7,9",1.999999997742884e-11,1.9999999995166297e-09,1.9999999999997474e-09,1.3786427197846072e-11
"7,10",-9.999999999999991,1.999999999997628e-10,1.6918795646693782e-10,7.896366424058314e-13
"7,11",0,0,0,0
"7,12",0,0,0,0
"8,1",0,0,0,0
"8,2",0,0,0,0
"8,3",1.9552342823699425e-06,-5.217031,1.1016483372908204e-09,8.844841085436813e-11
"8,4",1.9958350602851894e-07,6.548245824391671e-08,1.999991326045875e-05,6.859629262354532e-11
"8,5",1.96790705359819e-08,1.999734371127967e-06,8.190199781166462e-07,5.735551560413597e-10
"8,6",1.8366098117548183e-09,1.9643280198291079e-07,1.9841836418035785e-07,6.581067196280326e-11
"8,7",1.7838252662962983e-10,1.8127323345950872e-08,1.9430339414930228e-08,1.6621383490645127e-11
"8,8",1.7161868788267647e-11,3.666375912144133e-10,1.9926070392088198e-09,8.613448501516818e-14
"8,9",1.4444777493748163e-12,1.93915910430226e-10,1.5982171423533518e-10,1.7094437604621962e-13
"8,10",-9.353891811077332,1.7214804773053172e-11,1.5649757473060496e-11,6.986038487415415e-16
"8,11",0,0,0,0
"8,12",0,0,0,0
"9,1",0,0,0,0
"9,2",0,0,0,0
"9,3",1.743569078423216e-11,-1.0,8.844841085436812e-09,0.0
"9,4",3.0956486693764425e-09,0.0,0.0,0.0
"9,5",3.779449565968901e-11,4.990916562445562e-12,1.0634711656758552e-07,9.317329110556748e-13
"9,6",3.7055677999416785e-11,2.7593407161882835e-09,1.9702387316815667e-09,0.0
"9,7",6.415155566836871e-13,1.2711676280314293e-14,1.094897838614904e-09,0.0
"9,8",3.053627581884244e-13,2.984012436370043e-11,0.0,0.0
"9,9",5.672687540596921e-15,4.783200435621663e-13,7.614510343314677e-12,0.0
"9,10",-6.12579511,1.0609085411901328e-13,2.914572510788313e-13,0.0
"9,11",0,0,0,0
"9,12",0,0,0,0
"10,1",0,0,0,0
"10,2",0,0,0,0
"10,3",0.0,-1.9,0.0,-1.9
"10,4",0.0,0.0,0.0,-1.0
"10,5",0.0,0.0,9.317329110556746e-11,-1.0
"10,6",0.0,0.0,7.89513209757983e-12,-1.0
"10,7",0.0,0.0,0.0,-1.0
"10,8",0.0,0.0,0.0,-1.0
"10,9",0.0,0.0,2.6103416432815128e-14,-2.71
"10,10",-6.12579511,0.0,1.3121374470961498e-16,-1.0
"10,11",0,0,0,0
"10,12",0,0,0,0
"11,1",0,0,0,0
"11,2",0,0,0,0
"11,3",0,0,0,0
"11,4",0,0,0,0
"11,5",0,0,0,0
"11,6",0,0,0,0
"11,7",0,0,0,0
"11,8",0,0,0,0
"11,9",0,0,0,0
"11,10",0,0,0,0
"11,11",0,0,0,0
"11,12",0,0,0,0
"12,1",0,0,0,0
"12,2",0,0,0,0
"12,3",0,0,0,0
"12,4",0,0,0,0
"12,5",0,0,0,0
"12,6",0,0,0,0
"12,7",0,0,0,0
"12,8",0,0,0,0
"12,9",0,0,0,0
"12,10",0,0,0,0
"12,11",0,0,0,0
"12,12",0,0,0,0
